student_id,name,age,experience_level,learning_style,interests,course_id,course_name,category,difficulty_level,ratings,num_reviews,time_spent_on_course,completion_status,video_id,video_topic,video_duration,time_watched,skip_count,pause_count,disengagement_score
9c19eea1-3955-4b62-90c4-379f6cd2edf7,Diana Black,40,Beginner,Kinesthetic,"Penetration Testing, React, Natural Language Processing",5a047616-93de-4000-af53-3b9b71f38925,Certified Ethical Hacker (CEH),Cybersecurity,Beginner,3.8,473,136,TRUE,bf694642-ec34-4e49-891b-cceef145206d,Penetration Testing,225,194,0,2,0.12
aa75e84a-1e26-42e1-b4ee-fba65d1c52f6,Peter Wright,31,Intermediate,Visual,"Serverless Architecture, Big Data",fa6c853d-7ffe-490c-9bfb-ad09f28de94a,Statistics for ML,Data Science,Intermediate,2.6,36,234,FALSE,577ea2d0-967d-4ba0-8c05-0c6caca5c71d,Machine Learning,467,178,4,9,0.6
b1eeae84-f4b3-489a-bf2b-5d290a690d80,Elizabeth Cohen,19,Intermediate,Visual,"Statistics, JavaScript, Neural Networks",ed8e6fb3-64f5-4e56-bdb6-dbf4e96ffe7a,Artificial Intelligence A-Z,AI,Intermediate,1.3,250,552,FALSE,7fb6d538-5e91-40de-93fd-dd91dd75f5b8,Reinforcement Learning,338,87,8,3,0.71
41719f01-5446-4783-81a5-18e52ae15ac4,Miguel Owen,40,Advanced,Visual,"Ethical Hacking, React",e6d4d6f3-46f9-4671-95e1-67a63fe10be4,Advanced Penetration Testing,Cybersecurity,Advanced,2.8,335,177,TRUE,9292f8ea-e457-462d-bce2-0b0ab564f953,Penetration Testing,51,32,2,2,0.32
187ac969-cdb5-433f-a173-4612406681a1,Kevin Watson,49,Advanced,Auditory,"Computer Vision, HTML & CSS",bc9ea229-ee78-4c25-acde-ef33045eadcd,Computer Vision with OpenCV,AI,Advanced,3.2,240,320,FALSE,eae20545-77db-4d00-8f0e-2a0988bdd494,Computer Vision,499,271,7,9,0.55
63bf7597-9240-4e6b-83af-1a4dfdb4a98c,Amy Thompson,29,Intermediate,Visual,"Big Data, Cyber Threat Intelligence, Neural Networks",be0acd5f-8bc0-4d94-b593-0041f0913a47,Deep Learning with TensorFlow,Data Science,Beginner,3.4,137,320,FALSE,79784bd9-68cb-430a-a765-1b8236d1565b,Machine Learning,93,20,6,8,0.75
58b175ee-73c2-45bf-bb09-7c46502ae9dc,Kyle Williams,39,Intermediate,Auditory,"Google Cloud, Deep Learning",3d513fc8-0d27-43d4-a89d-1edbcf00b5ac,Deep Learning with TensorFlow,Data Science,Beginner,2.8,69,241,TRUE,21faf853-86af-4242-ae75-9b45e6437e83,Machine Learning,407,273,3,8,0.37
efd16d48-914c-495e-8e35-be86df4117c3,Jeffrey Shaw,28,Beginner,Reading/Writing,"Statistics, AWS",182fc828-41a5-40af-8ca9-4d4d83ab966f,AWS Certified Solutions Architect,Cloud Computing,Beginner,1.6,140,587,FALSE,589f98f9-ad25-41a8-8066-d79bb0a3af6a,Kubernetes,149,33,0,5,0.59
b23f7076-7f7f-4314-ac00-b6e0bb7c654e,Dr. Brian Mercer,45,Intermediate,Kinesthetic,"Big Data, Computer Vision, Azure",1314d878-68da-4a05-b997-45a40eb9d9e8,Python for Data Science,Data Science,Intermediate,3.0,319,522,TRUE,007d1488-3cf0-4a5a-9b37-b6b5899b4798,Deep Learning,131,97,0,6,0.24
c9399dc0-9f63-426a-a10b-06ddea2b4173,Sara Grant,19,Beginner,Kinesthetic,"Google Cloud, Machine Learning",2a7993b1-652c-4ac4-afc2-d674b3f3138f,Data Science Bootcamp,Data Science,Beginner,4.4,422,82,TRUE,8d9be107-bb80-4b02-a658-00826489c392,Big Data,214,179,0,1,0.12
300ca288-200f-42d3-9b28-52160aa976e5,Dana Rojas,25,Intermediate,Visual,"Cyber Threat Intelligence, Data Analysis, Azure",66cde262-118b-407b-a5f2-8b62d96580e4,Data Science Bootcamp,Data Science,Intermediate,2.4,403,361,FALSE,b3b8b379-6deb-4824-b15b-4995d2fdac1c,Deep Learning,360,69,9,5,0.8
88e318cf-3711-4486-b693-d6ca179d3635,Nancy Scott,35,Advanced,Kinesthetic,"Reinforcement Learning, Statistics",70f4a4fa-395d-42f0-a807-df28a9246861,Data Science Bootcamp,Data Science,Advanced,2.6,468,397,TRUE,92e9a473-96e6-4ba7-8bf5-7055132ba8b0,Data Analysis,386,265,3,0,0.28
d119e14f-ce69-4a8e-8d17-567ad91a21e9,Michelle Gomez,39,Beginner,Auditory,"AWS, JavaScript",7a8008b4-7d68-4d96-a9a0-44c28be157ed,Google Cloud Fundamentals,Cloud Computing,Beginner,4.0,193,440,TRUE,ba215fde-7ec3-41ef-a149-da6f83328a2e,Azure,339,287,6,4,0.27
336b4e27-8437-4209-b1bf-7c33c5624cce,Brooke Ryan,38,Advanced,Auditory,"Deep Learning, Node.js",6b6b2d7d-76eb-4c9b-86d5-42af9ab71d46,Backend APIs with Node.js,Web Development,Advanced,3.0,95,322,FALSE,50b452f7-17b5-49b1-9b76-5d45c30a1056,React,362,141,8,4,0.63
c302a605-a288-4a0c-bef0-34394cb2b345,Megan Montes,23,Beginner,Visual,"JavaScript, Neural Networks",4dc9fd0c-53f7-4e6d-ad4a-eb5ae39c0dbc,JavaScript Mastery,Web Development,Beginner,2.8,440,572,TRUE,f347b036-4d70-470f-bf1d-b83deb2ce00f,Node.js,361,253,1,6,0.29
bf293609-87f3-47c8-98c0-04a55537a432,Daniel Smith,18,Advanced,Kinesthetic,"Cyber Threat Intelligence, Computer Vision",7d0a6265-e54b-47dd-bfb6-f0d46221be1b,Certified Ethical Hacker (CEH),Cybersecurity,Advanced,1.3,496,567,FALSE,a3911a02-2535-46b6-9643-4f70184750a9,Network Security,98,16,3,5,0.7
52bdccd3-c451-4268-a449-1e6b39b6c3e9,Brittany Schmidt,30,Intermediate,Reading/Writing,"Deep Learning, Serverless Architecture",72c924cf-3057-483a-9402-04a68b8a80bd,Deep Learning with TensorFlow,Data Science,Beginner,3.7,283,231,FALSE,1f372956-1906-4129-af34-86c696af6516,Deep Learning,299,110,5,4,0.58
3294599c-a60c-4044-a66e-d21ef1465e22,Christopher Richardson,38,Intermediate,Auditory,"Serverless Architecture, Ethical Hacking, JavaScript",598e911c-da4c-4503-af4d-6953997c3538,Cybersecurity Fundamentals,Cybersecurity,Beginner,2.9,487,98,TRUE,48c2c7e7-5102-4c1e-a869-d8cff967ef27,Cyber Threat Intelligence,488,379,9,1,0.35
7d9fd175-f9a5-47e4-acca-5730e177122a,Jon Marshall,31,Beginner,Visual,"Natural Language Processing, Serverless Architecture, Statistics",2191bd12-f434-4252-b78c-39fae5309ee1,NLP with Transformers,AI,Beginner,2.0,458,408,FALSE,2f69281b-a451-4713-ae9d-42b843337e41,Reinforcement Learning,301,50,2,5,0.67
207082ba-4493-4ff9-a489-a3d917ef9bd1,Travis Morgan,37,Intermediate,Auditory,"Reinforcement Learning, AWS, React",172568e7-036a-4528-bed7-cf49da27540b,AWS Certified Solutions Architect,Cloud Computing,Intermediate,3.2,156,584,FALSE,d2c0902f-2ead-4a5b-9119-5a9142501231,Google Cloud,66,16,8,0,0.69
b00a8901-6c8c-42cc-a9e7-a61e0f3c1e83,Sharon Dixon,25,Advanced,Visual,"Cyber Threat Intelligence, Natural Language Processing, Data Analysis",68a6118b-b792-4a58-9fc5-b010a4e5d340,Cybersecurity Fundamentals,Cybersecurity,Intermediate,2.4,79,413,FALSE,c2d7fb9c-ba56-4a86-b77d-80f739fa027f,Penetration Testing,244,63,3,9,0.67
05dd8841-4977-4d8a-b1af-0bdd8e56572d,Sharon Clark,41,Advanced,Reading/Writing,"Natural Language Processing, Network Security, Full Stack Development",d69e2b64-79cb-4ae8-8b18-d35918bc5888,Backend APIs with Node.js,Web Development,Intermediate,2.7,106,60,TRUE,0c1654ff-e04c-4234-8f50-8b25bc5b9758,HTML & CSS,137,124,1,2,0.11
4dc264bc-8051-48fc-942d-98066ad9d2e8,Claudia Alvarez,34,Beginner,Visual,"Reinforcement Learning, AWS",36f4cb96-9cb3-4bcd-b50a-e034ad084894,Serverless Computing,Cloud Computing,Beginner,3.1,232,42,FALSE,51f7d2b0-a604-4afd-a40c-de8dd1d21469,AWS,134,13,0,2,0.65
b9385b15-71de-4f5b-9bb8-59f227f444ec,Carlos Murphy,46,Advanced,Visual,"Ethical Hacking, JavaScript, Kubernetes",05623363-cd83-471f-aff5-50ff304fc7ca,Backend APIs with Node.js,Web Development,Advanced,2.4,177,597,FALSE,9fba9be8-5378-4378-a826-eac7a5c3d1ac,HTML & CSS,341,216,5,8,0.44
69497451-e600-4880-8bfa-0c4a977a4687,Tiffany Porter,42,Intermediate,Kinesthetic,"Serverless Architecture, Cyber Threat Intelligence",9c941f4e-1c4f-4d80-8bbc-7fbd904f5abb,Serverless Computing,Cloud Computing,Intermediate,4.6,130,178,TRUE,be24326c-4b86-438d-9286-bf7f0e3007a9,AWS,389,384,5,5,0.16
8b49b3fb-a060-4bcf-8d8e-0671cce187a3,Deanna Young,33,Beginner,Visual,"Deep Learning, Node.js, Cyber Threat Intelligence",ba44e93f-3c70-4c22-8139-2c8e6be2a9a1,Certified Ethical Hacker (CEH),Cybersecurity,Beginner,3.4,152,265,TRUE,cbb7aea2-fb66-43f4-abe3-98304e45eda1,Cyber Threat Intelligence,465,395,9,4,0.33
2dc21766-3cfc-4be1-9d7e-287442646a2b,Kristin Kirk,20,Advanced,Kinesthetic,"React, Azure",c1829056-28a9-4fe4-bd18-a0b1d2bbc8ff,Serverless Computing,Cloud Computing,Advanced,4.5,278,350,TRUE,41963668-587d-4243-b4df-b6f606a97cf2,Kubernetes,315,279,1,1,0.11
76d3bf0a-992c-493b-b2c2-6ab511e16d5b,Gregory Powell,31,Beginner,Visual,"Azure, HTML & CSS, Neural Networks",093eac48-7098-44c7-938f-fa9f75ed307a,Serverless Computing,Cloud Computing,Beginner,2.3,326,295,TRUE,7eaedd27-81c5-4206-8504-c875c4257c40,Google Cloud,276,258,6,5,0.22
ee92f3e5-f1db-4546-bfa8-627b45a2822a,David Taylor,25,Intermediate,Auditory,"Serverless Architecture, Natural Language Processing, Cyber Threat Intelligence",93c9b8a9-e637-476d-90b6-0a22b03cfbdf,AWS Certified Solutions Architect,Cloud Computing,Beginner,1.7,99,299,FALSE,81531492-396f-4e45-b5f6-67a728bfc7a0,Google Cloud,438,110,0,0,0.52
4d6161f0-9ee0-482a-91b9-cdb511022aa4,Mr. Christopher Smith,41,Beginner,Kinesthetic,"HTML & CSS, Data Analysis, Cyber Threat Intelligence",00439f61-e15b-4598-a4bc-1cc0113ddbb7,Backend APIs with Node.js,Web Development,Beginner,4.1,260,431,TRUE,d01f6cc1-f448-483d-89c4-53bf6b8259f9,JavaScript,299,233,2,1,0.2
e854fc13-33f7-4da8-95e1-6a220dd1e257,Whitney Hendrix,24,Advanced,Visual,"Azure, Neural Networks, Statistics",313e664c-0bb1-492b-a898-779905a759c0,Kubernetes for DevOps,Cloud Computing,Advanced,2.4,295,504,FALSE,9fa6eb38-6381-4819-87f6-39e5c3876229,AWS,404,63,7,0,0.73
b95a1ca7-83cc-4313-90e3-aefdfe3340e7,Michael Myers,25,Beginner,Visual,"Statistics, Network Security, Node.js",ef517d9a-7eb1-4721-b273-2be4ac83cf31,Deep Learning with TensorFlow,Data Science,Beginner,2.9,79,587,FALSE,5a58e88c-a069-4682-b163-c8c0b461cb3c,Deep Learning,257,133,9,6,0.58
d13eba32-5d8c-41b3-94b2-a511e890b128,Emily Mccoy,35,Intermediate,Auditory,"Full Stack Development, Machine Learning, Kubernetes",50cdd601-2ace-466b-9838-73d51a801cae,Full Stack Web Development,Web Development,Beginner,4.3,190,550,TRUE,d17c4cb9-83a3-4e7b-93a3-03ceb0dc8c22,HTML & CSS,385,244,3,4,0.36
